"Time [s]","Committed size","Free size","Used size"
213.82,262144000,236275000,25869000
214.82,262144000,236275000,25869000
215.83,262144000,236275000,25869000
216.83,262144000,236275000,25869000
217.83,262144000,236275000,25869000
218.83,262144000,236275000,25869000
219.84,262144000,236275000,25869000
220.84,262144000,236275000,25869000
221.85,262144000,236275000,25869000
222.85,262144000,236275000,25869000
223.86,262144000,236275000,25869000
224.86,262144000,236275000,25869000
225.86,262144000,236091000,26053000
226.87,262144000,236091000,26053000
227.87,262144000,236091000,26053000
228.87,262144000,236091000,26053000
229.88,262144000,236091000,26053000
230.88,262144000,236091000,26053000
231.88,262144000,236091000,26053000
232.88,262144000,236091000,26053000
233.89,262144000,236091000,26053000
234.89,262144000,236091000,26053000
235.9,262144000,236091000,26053000
236.9,262144000,236091000,26053000
237.91,262144000,236091000,26053000
238.91,262144000,236091000,26053000
239.92,262144000,236091000,26053000
240.92,262144000,236091000,26053000
241.93,262144000,236091000,26053000
242.93,262144000,236091000,26053000
243.93,262144000,236091000,26053000
244.93,262144000,236091000,26053000
245.94,262144000,236091000,26053000
246.94,262144000,236091000,26053000
247.94,262144000,236091000,26053000
248.95,262144000,236091000,26053000
249.95,262144000,236091000,26053000
250.96,262144000,236091000,26053000
251.96,262144000,236091000,26053000
252.96,262144000,236091000,26053000
253.97,262144000,236091000,26053000
254.98,262144000,236091000,26053000
255.98,262144000,236091000,26053000
256.98,262144000,236091000,26053000
257.99,262144000,236091000,26053000
258.99,262144000,236091000,26053000
260.0,262144000,236091000,26053000
261.0,262144000,236091000,26053000
262.0,262144000,236091000,26053000
263.0,262144000,236091000,26053000
264.01,262144000,236091000,26053000
265.01,262144000,236091000,26053000
266.01,262144000,236091000,26053000
267.02,262144000,236091000,26053000
268.02,262144000,236091000,26053000
269.02,262144000,236091000,26053000
270.02,262144000,236091000,26053000
271.03,262144000,236091000,26053000
272.03,262144000,236091000,26053000
273.04,262144000,236091000,26053000
274.04,262144000,236091000,26053000
275.04,262144000,236091000,26053000
276.05,262144000,236091000,26053000
277.05,262144000,236091000,26053000
278.05,262144000,236091000,26053000
279.06,262144000,236091000,26053000
280.06,262144000,236091000,26053000
281.07,262144000,236091000,26053000
282.07,262144000,236091000,26053000
283.08,262144000,236091000,26053000
284.08,262144000,236091000,26053000
285.08,262144000,236091000,26053000
286.09,262144000,236091000,26053000
287.09,262144000,236091000,26053000
288.1,262144000,236091000,26053000
289.1,262144000,236091000,26053000
290.1,262144000,236091000,26053000
291.11,262144000,236091000,26053000
292.11,262144000,236091000,26053000
293.11,262144000,236091000,26053000
294.12,262144000,236091000,26053000
295.12,262144000,236091000,26053000
296.13,262144000,236091000,26053000
297.13,262144000,236091000,26053000
298.13,262144000,236091000,26053000
299.13,262144000,236091000,26053000
300.14,262144000,236091000,26053000
301.14,262144000,236091000,26053000
302.14,262144000,236091000,26053000
303.15,262144000,236091000,26053000
304.15,262144000,236091000,26053000
305.16,262144000,236091000,26053000
306.16,262144000,236091000,26053000
307.17,262144000,236091000,26053000
308.17,262144000,236091000,26053000
309.18,262144000,236091000,26053000
310.18,262144000,236091000,26053000
311.18,262144000,236091000,26053000
312.19,262144000,236091000,26053000
313.19,262144000,236091000,26053000
314.2,262144000,236091000,26053000
315.2,262144000,236091000,26053000
316.21,262144000,236091000,26053000
317.21,262144000,236091000,26053000
318.22,262144000,236091000,26053000
319.22,262144000,236091000,26053000
320.23,262144000,236091000,26053000
321.23,262144000,236091000,26053000
322.23,262144000,236091000,26053000
323.24,262144000,236091000,26053000
324.24,262144000,236091000,26053000
325.24,262144000,236091000,26053000
326.24,262144000,236091000,26053000
327.25,262144000,236091000,26053000
328.26,262144000,236091000,26053000
329.26,262144000,236091000,26053000
330.26,262144000,236091000,26053000
331.26,262144000,236091000,26053000
332.26,262144000,236091000,26053000
333.27,262144000,236091000,26053000
334.27,262144000,236091000,26053000
335.28,262144000,236091000,26053000
336.28,262144000,236091000,26053000
337.29,262144000,236091000,26053000
338.29,262144000,236091000,26053000
339.29,262144000,236091000,26053000
340.3,262144000,236091000,26053000
341.3,262144000,236091000,26053000
342.3,262144000,236091000,26053000
343.31,262144000,236091000,26053000
344.31,262144000,236091000,26053000
345.31,262144000,236091000,26053000
346.32,262144000,236091000,26053000
347.32,262144000,236091000,26053000
348.33,262144000,236091000,26053000
349.33,262144000,236091000,26053000
350.34,262144000,236091000,26053000
351.34,262144000,236091000,26053000
352.35,262144000,236091000,26053000
353.35,262144000,236091000,26053000
354.36,262144000,236091000,26053000
355.36,262144000,236091000,26053000
356.36,262144000,236091000,26053000
357.37,262144000,236091000,26053000
358.37,262144000,236091000,26053000
359.38,262144000,236091000,26053000
360.38,262144000,236091000,26053000
361.39,262144000,236091000,26053000
362.39,262144000,236091000,26053000
363.4,262144000,236091000,26053000
364.4,262144000,236091000,26053000
365.4,262144000,236091000,26053000
366.41,262144000,236091000,26053000
367.41,262144000,236091000,26053000
368.42,262144000,236091000,26053000
369.42,262144000,236091000,26053000
370.43,262144000,236091000,26053000
371.43,262144000,236091000,26053000
372.44,262144000,236091000,26053000
373.44,262144000,236091000,26053000
374.45,262144000,236091000,26053000
375.45,262144000,236091000,26053000
376.45,262144000,236091000,26053000
377.46,262144000,236091000,26053000
378.46,262144000,236091000,26053000
379.47,262144000,236091000,26053000
380.47,262144000,236091000,26053000
381.47,262144000,236091000,26053000
382.48,262144000,236091000,26053000
383.48,262144000,236091000,26053000
384.48,262144000,236091000,26053000
385.49,262144000,236091000,26053000
386.49,262144000,236091000,26053000
387.49,262144000,236091000,26053000
388.49,262144000,236091000,26053000
389.5,262144000,236091000,26053000
390.5,262144000,236091000,26053000
391.51,262144000,236091000,26053000
392.51,262144000,236091000,26053000
393.52,262144000,236091000,26053000
394.52,262144000,236091000,26053000
395.52,262144000,236091000,26053000
