"Time [s]","Process load","System load"
447.72,0.16,4.01
448.72,0.17,4.76
449.73,0.16,3.6
450.73,0.17,7.17
451.73,0.17,6.92
452.73,0.18,12.03
453.74,0.16,4.86
454.74,0.19,9.35
455.74,0.15,1.75
456.75,0.16,2.75
457.75,0.17,4.76
458.75,0.17,4.63
459.76,0.16,3.74
460.76,0.2,9.37
461.77,0.16,5.72
462.77,0.17,6.03
463.77,0.16,4.12
464.78,0.18,8.52
465.78,0.17,5.26
466.78,0.19,12.57
467.79,0.16,7.5
468.79,0.17,6.54
469.79,0.16,4.99
470.8,0.18,7.75
471.8,0.18,8.37
472.8,0.18,6.65
473.81,0.18,7.37
474.81,0.17,6.9
475.82,0.19,6.9
476.82,0.18,11.16
477.82,0.18,14.14
478.82,0.26,42.65
479.82,0.23,21.5
480.83,0.2,39.74
481.83,0.2,14.85
482.84,0.24,17.92
483.84,0.21,11.22
484.85,0.22,8.18
485.85,0.23,13.08
486.85,0.31,23.64
487.85,0.65,18.39
488.85,0.21,20.83
489.86,0.2,14.69
490.86,0.21,18.87
491.86,0.2,14
492.86,0.22,16.81
493.87,0.22,16.35
494.87,0.19,12.4
495.88,0.17,7.02
496.88,0.19,9.04
497.88,0.16,5.49
498.88,0.18,6.15
499.89,0.16,3.64
500.89,0.17,6.88
501.9,0.18,11
502.9,0.2,8.52
503.9,0.16,2.86
