# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Time [s]","Total number of threads","Runnable threads","Blocked threads","Threads in Net I/O","Waiting threads"
33.13,2956,2940,16
34.14,2956,2940,16
35.14,2956,2940,16
36.14,2956,2940,16
37.15,2956,2940,16
38.15,2956,2940,16
39.16,2956,2940,16
40.16,2956,2940,16
41.16,2956,2940,16
42.17,2956,2940,16
43.17,2958,2942,16
44.17,2985,2969,16
45.17,2985,2969,16
46.18,2985,2969,16
47.18,3018,3001,17
48.19,3018,3001,17
49.19,3019,3002,17
50.2,3019,3002,17
51.2,3019,3002,17
52.2,3019,3002,17
53.2,3019,3002,17
54.21,3020,3003,17
55.21,3020,3003,17
56.22,3020,3003,17
57.22,3020,3003,17
58.22,3020,3003,17
59.22,3020,3003,17
60.23,3020,3003,17
61.23,3020,3003,17
62.23,3020,3003,17
63.24,3020,3003,17
64.25,3020,3003,17
65.25,3020,3003,17
66.25,3020,3003,17
67.25,3020,3003,17
68.26,3020,3003,17
69.26,3020,3003,17
70.26,3020,3003,17
71.27,3021,3004,17
72.27,3021,3004,17
73.28,3021,3004,17
74.29,3021,3004,17
75.29,3021,3004,17
76.29,3025,3007,18
77.3,3025,3007,18
78.3,3025,3007,18
79.31,3025,3007,18
80.31,3025,3007,18
81.31,3025,3007,18
82.32,3025,3007,18
83.32,3025,3007,18
84.33,3025,3007,18
85.33,3025,3007,18
86.33,3025,3007,18
87.34,3025,3007,18
88.34,3025,3007,18
89.35,3025,3007,18
90.35,3025,3007,18
91.35,3025,3007,18
92.36,3025,3007,18
93.36,3025,3007,18
94.36,3025,3007,18
95.36,3025,3007,18
96.36,3025,3007,18
97.37,3025,3007,18
98.37,3025,3007,18
99.37,3025,3007,18
100.38,3025,3007,18
101.38,3025,3007,18
102.39,3025,3007,18
103.39,3025,3007,18
104.39,3025,3007,18
105.4,3025,3007,18
106.4,3025,3007,18
107.41,3025,3007,18
108.42,3025,3007,18
109.42,3025,3007,18
110.42,3025,3007,18
111.42,3025,3007,18
112.43,3025,3007,18
113.43,3025,3007,18
114.44,3025,3007,18
115.44,3025,3007,18
116.44,3025,3007,18
117.44,3025,3007,18
118.45,3025,3007,18
119.45,3025,3007,18
120.46,3025,3007,18
121.46,3025,3007,18
122.47,3025,3007,18
123.47,3025,3007,18
124.48,3025,3007,18
125.48,3025,3007,18
126.48,3025,3007,18
127.49,3027,3009,18
128.49,3027,3009,18
129.5,3027,3009,18
130.5,3027,3009,18
131.5,3027,3009,18
132.51,3027,3009,18
133.51,3027,3009,18
134.52,3027,3009,18
135.52,3027,3009,18
136.52,3027,3009,18
137.53,3027,3009,18
138.53,3027,3009,18
139.54,3027,3009,18
140.54,3027,3009,18
141.55,3027,3009,18
142.55,3027,3009,18
143.56,3027,3009,18
144.56,3027,3009,18
145.57,3027,3009,18
146.57,3027,3009,18
147.58,3027,3009,18
148.58,3027,3009,18
149.59,3027,3009,18
150.59,3027,3009,18
151.59,3027,3009,18
152.59,3027,3009,18
153.6,3027,3009,18
154.6,3027,3009,18
155.61,3027,3009,18
156.61,3027,3009,18
157.62,3027,3009,18
158.62,3027,3009,18
159.63,3027,3009,18
160.63,3036,3018,18
161.63,3036,3018,18
162.64,3036,3018,18
163.64,3036,3018,18
164.64,3036,3018,18
165.65,3036,3018,18
166.65,3036,3018,18
167.65,3036,3018,18
168.66,3036,3018,18
169.66,3036,3018,18
170.66,3036,3018,18
171.67,3036,3018,18
172.67,3036,3018,18
173.68,3036,3018,18
174.68,3036,3018,18
175.68,3036,3018,18
176.69,3036,3018,18
177.69,3036,3018,18
178.7,3036,3018,18
